route_id,service_id,trip_id,trip_headsign,trip_long_name,direction_code,shape_id,wheelchair_accessible
51ca957840814c24a8d449c91217e23a,166533,1088682,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166533,1088684,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166533,1088686,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166533,1088688,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088691,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088693,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088695,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088697,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088699,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088701,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088703,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088705,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088707,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088709,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088711,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088713,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088715,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088717,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088719,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088721,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088723,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088725,Majaka põik,Priisle - Majaka põik,A>B,9345,1
51ca957840814c24a8d449c91217e23a,166534,1088727,Majaka põik,Priisle - Majaka põik,A>B,9345,1
b2a70091aaa9ecca91c851327acf57e2,166556,1659940,Suure-Jaani,Viljandi - Aimla - Tääksi - Suure-Jaani,A>B,58497,0
